District,Block,Month of Data Collection,Plantation Year,Tree Type,Tree species,Latitude,Longitude,GBH_cm,DBH_cm,Tree Height_foot,North South_Tree Crown Size_Foot,East West_Tree Crown Size_foot,Tree Crown_foot,tree_age_years,height_m,crown_m,_age_informative,true_dbh,pred_dbh,rel_err_pct,in_90,below_sapling_floor,co2_true,co2_pred
Gadchiroli,Gadchiroli,August 2023,1992.0,Fruit,Chiku,20.1267658,79.9948635,78.0,24.84076433,26.0,26.0,24.0,25.0,31.33,7.9248,7.62,1.0,24.840764329999995,23.585459063003572,-5.053408382770255,True,False,545.727783298702,483.86947343412857
Ahmednagar,Jamkhed,March 2024,2012.0,Fruit,Chiku,18.5691421,75.2839154,85.0,27.07006369,25.0,26.0,27.0,26.5,11.92,7.62,8.077200000000001,1.0,27.070063689999998,28.47694445797499,5.197183073103414,True,False,666.1445725727192,749.2349542813386
Ahmednagar,Karjat,February 2024,2019.0,Fruit,Chiku,18.5573271,74.8392935,27.0,8.598726115,7.0,5.0,6.0,5.5,4.83,2.1336,1.6764000000000001,1.0,8.598726114999998,7.8156726821110745,-9.106621404337215,True,False,46.56724222750842,37.314302843908735
Ahmednagar,Karjat,February 2024,2019.0,Fruit,Chiku,18.5575784,74.8388896,21.0,6.687898089,6.0,4.0,5.0,4.5,4.83,1.8288000000000002,1.3716000000000002,1.0,6.687898089,7.0823393024175365,5.8978352864900625,True,False,25.99353527108367,29.6895340371199
Ahmednagar,Karjat,February 2024,2019.0,Fruit,Chiku,18.557236,74.8390394,30.0,9.554140127,6.0,4.0,5.0,4.5,4.83,1.8288000000000002,1.3716000000000002,1.0,9.554140127,7.127147262591847,-25.402525315171708,True,False,59.46177883303448,30.12713745696297
Ahmednagar,Jamkhed,February 2024,2009.0,Fruit,Chiku,18.6224576,75.2417912,44.0,14.01273885,11.0,8.0,10.0,9.0,14.83,3.3528000000000002,2.7432000000000003,1.0,14.012738850000002,11.271532028383207,-19.562248686428592,True,False,144.58618392934056,87.25570112136407
Ahmednagar,Shrigonda,July 2023,2021.0,Fruit,Custard apple,18.7934328,74.4693041,17.0,5.414012739,6.0,4.0,4.0,4.0,2.25,1.8288000000000002,1.2192,1.0,5.414012739,5.552378655503338,2.55569986946308,True,False,15.920550619963201,16.8804813420206
Ahmednagar,Shrigonda,July 2023,2021.0,Fruit,Custard apple,18.7935994,74.4693755,10.0,3.184713376,3.0,2.0,2.0,2.0,2.25,0.9144000000000001,0.6096,1.0,3.184713376,2.8801773112742413,-9.562432431776827,True,True,4.648540150229806,3.6816794345069916
Pune,Shirur,August 2023,2012.0,Fruit,Custard apple,18.7388346,74.1054043,41.0,13.05732484,12.0,12.0,12.0,12.0,11.33,3.6576000000000004,3.6576000000000004,1.0,13.057324839999998,15.290116704503964,17.099918182811834,True,False,122.73689543937712,177.02166711823594
Ahmednagar,Karjat,July 2023,2020.0,Fruit,Custard apple,18.6938848,74.9262429,16.0,5.095541401,6.0,4.0,4.0,4.0,3.25,1.8288000000000002,1.2192,1.0,5.095541401,5.495421684752685,7.847650569068253,True,False,13.831680419711718,16.481462379780346
